PID   USER     COMMAND
    1 root     {init} /bin/busybox sh /init
  408 root     [irq/320-bcl-lvl]
  409 root     [irq/321-bcl-lvl]
  410 root     [irq/337-bcl-lvl]
  411 root     [irq/338-bcl-lvl]
  412 root     [irq/339-bcl-lvl]
  413 root     [kworker/1:1H]
  414 root     [kworker/4:1H]
  415 root     [kworker/5:1H]
  416 root     [kworker/6:1H]
  417 root     [kworker/7:1H]
  418 root     [dm_bufio_cache]
  419 root     [irq/30-KRYO L3-]
  420 root     [irq/23-8804000.]
  421 root     [memlat_wq]
  422 root     [irq/457-mdm sta]
  423 root     [irq/194-arm-smm]
  424 root     [uaudio_svc]
  425 root     [apr_driver]
  426 root     [irq/458-tfa98xx]
  427 root     [dsi_dma_cmd_wor]
  428 root     [dsi_dma_cmd_wor]
  429 root     [disp_fod:0]
  430 root     [irq/172-arm-smm]
  431 root     [irq/195-arm-smm]
  432 root     [irq/459-esd_err]
  433 root     [crtc_commit:129]
  434 root     [crtc_event:129]
  435 root     [crtc_commit:184]
  436 root     [crtc_event:184]
  437 root     [pp_event]
  438 root     [msm_vidc_worker]
  439 root     [pm_workerq_venu]
  440 root     [vidc_core_workq]
  441 root     [irq/196-arm-smm]
  442 root     [irq/197-arm-smm]
  443 root     [irq/198-arm-smm]
  444 root     [irq/199-arm-smm]
  445 root     [irq/200-arm-smm]
  446 root     [irq/201-arm-smm]
  447 root     [irq/202-arm-smm]
  448 root     [irq/203-arm-smm]
  449 root     [irq/204-arm-smm]
  450 root     [cam-cpas]
  451 root     [qcom,cam_virtua]
  452 root     [qcom,cam170-cpa]
  453 root     [cam_cci_wq]
  454 root     [cam_cci_wq]
  455 root     [cam_cci_wq]
  456 root     [cam_cci_wq]
  457 root     [ipv6_addrconf]
  458 root     [kworker/6:3-eve]
  459 root     [irq/380-smp2p]
  460 root     [irq/158-arm-smm]
  461 root     [irq/159-arm-smm]
  462 root     [irq/160-arm-smm]
  463 root     [irq/22-mmc0]
  464 root     [irq/161-arm-smm]
  465 root     [kgsl-events]
  466 root     [irq/462-8804000]
  467 root     [kgsl_devfreq_wq]
  475 root     [irq/463-wdog-sn]
  476 root     [irq/464-wdog-ba]
  477 root     [irq/466-aicl-do]
  478 root     [irq/467-smb-en]
  479 root     [irq/468-temp-ch]
  480 root     [irq/470-typec-o]
  481 root     [irq/472-typec-c]
  482 root     [irq/473-typec-v]
  483 root     [irq/475-typec-a]
  484 root     [irq/476-typec-l]
  485 root     [irq/479-dcin-uv]
  486 root     [irq/480-dcin-ov]
  487 root     [irq/481-dcin-pl]
  488 root     [irq/483-dcin-po]
  489 root     [irq/484-dcin-en]
  490 root     [irq/485-usbin-c]
  491 root     [irq/486-usbin-v]
  492 root     [irq/487-usbin-u]
  493 root     [irq/488-usbin-o]
  494 root     [irq/489-usbin-p]
  495 root     [irq/491-usbin-s]
  496 root     [irq/492-usbin-i]
  497 root     [irq/493-bat-tem]
  498 root     [irq/494-bat-ov]
  499 root     [irq/495-bat-low]
  500 root     [irq/496-bat-the]
  501 root     [irq/497-bat-ter]
  502 root     [irq/500-otg-fai]
  503 root     [irq/503-high-du]
  504 root     [irq/504-input-c]
  505 root     [irq/506-switche]
  506 root     [irq/507-chgr-er]
  507 root     [irq/508-chg-sta]
  508 root     [irq/332-qcom,te]
  509 root     [irq/358-qcom,te]
  510 root     [irq/369-qcom,te]
  511 root     [irq/318-thr-int]
  512 root     [irq/335-thr-int]
  513 root     [irq/359-thr-int]
  519 root     [kworker/6:4-eve]
  520 root     [kworker/6:5-eve]
  521 root     [kworker/6:6-eve]
  522 root     [kworker/6:7-eve]
  523 root     [kworker/6:8-eve]
  524 root     [kworker/6:9-eve]
  525 root     [irq/340-sig-tx]
  526 root     [irq/341-sig-rx]
  527 root     [irq/266-pwr_eve]
  528 root     [irq/265-dp_hs_p]
  529 root     [irq/268-dm_hs_p]
  530 root     [irq/267-ss_phy_]
  531 root     [usb_bam_wq]
  532 root     [kworker/2:2-eve]
  533 root     [core_ctl/0]
  534 root     [core_ctl/4]
  535 root     [core_ctl/7]
  536 root     [rq_stats]
  537 root     [msm_perf:events]
  538 root     [cdsprm-wq]
  539 root     [cdsprm-wq-delay]
  540 root     [kworker/5:2-eve]
  541 root     [irq/205-arm-smm]
  542 root     [irq/206-arm-smm]
  543 root     [irq/207-arm-smm]
  544 root     [irq/208-arm-smm]
  545 root     [irq/209-arm-smm]
  546 root     [irq/210-arm-smm]
  547 root     [irq/211-arm-smm]
  548 root     [irq/212-arm-smm]
  549 root     [irq/213-arm-smm]
  550 root     [irq/214-arm-smm]
  551 root     [irq/215-arm-smm]
  552 root     [kworker/5:3-mm_]
  553 root     [irq/216-arm-smm]
  554 root     [irq/217-arm-smm]
  555 root     [irq/218-arm-smm]
  556 root     [irq/219-arm-smm]
  557 root     [irq/220-arm-smm]
  558 root     [sb-1]
  559 root     [ngd_rx_thread1]
  560 root     [ngd_notify_sl1]
  561 root     [kworker/1:2-mm_]
  562 root     [irq/317-qpnp_fl]
  563 root     [irq/316-qpnp_fl]
  564 root     [irq/315-qpnp_fl]
  592 root     /usr/sbin/dropbear -R -p 22
  594 root     /bin/busybox telnetd -l /bin/sh -p 23
  600 root     /bin/busybox sleep 3600
  601 root     [kworker/3:3]
  602 root     [kworker/3:4-eve]
  603 root     [kworker/3:5]
  604 root     [kworker/2:3-eve]
  605 root     [kworker/2:4-eve]
  606 root     [kworker/2:5-eve]
  607 root     [kworker/4:2-eve]
  608 root     [kworker/4:3]
  609 root     [kworker/u17:2-d]
  610 root     /usr/sbin/dropbear -R -p 22 -2 8
  618 root     {ps} sh -c ps
