listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972873.317094 type=3 code=54 value=986
/dev/input/event3 2972873.317094 type=0 code=0 value=0
/dev/input/event3 2972873.322485 type=3 code=53 value=295
/dev/input/event3 2972873.322485 type=3 code=54 value=991
/dev/input/event3 2972873.322485 type=0 code=0 value=0
/dev/input/event3 2972873.327962 type=3 code=53 value=299
/dev/input/event3 2972873.327962 type=3 code=54 value=997
/dev/input/event3 2972873.327962 type=0 code=0 value=0
/dev/input/event3 2972873.333145 type=3 code=53 value=302
/dev/input/event3 2972873.333145 type=3 code=54 value=1002
/dev/input/event3 2972873.333145 type=0 code=0 value=0
/dev/input/event3 2972873.338725 type=3 code=53 value=306
/dev/input/event3 2972873.338725 type=3 code=54 value=1007
/dev/input/event3 2972873.338725 type=0 code=0 value=0
/dev/input/event3 2972873.344050 type=3 code=53 value=308
/dev/input/event3 2972873.344050 type=3 code=54 value=1012
/dev/input/event3 2972873.344050 type=0 code=0 value=0
/dev/input/event3 2972873.349550 type=3 code=53 value=311
/dev/input/event3 2972873.349550 type=3 code=54 value=1017
/dev/input/event3 2972873.349550 type=0 code=0 value=0
/dev/input/event3 2972873.355020 type=3 code=53 value=313
/dev/input/event3 2972873.355020 type=3 code=54 value=1021
/dev/input/event3 2972873.355020 type=0 code=0 value=0
/dev/input/event3 2972873.360409 type=3 code=53 value=315
/dev/input/event3 2972873.360409 type=3 code=54 value=1025
/dev/input/event3 2972873.360409 type=0 code=0 value=0
/dev/input/event3 2972873.365719 type=3 code=53 value=317
/dev/input/event3 2972873.365719 type=3 code=54 value=1029
/dev/input/event3 2972873.365719 type=0 code=0 value=0
/dev/input/event3 2972873.370950 type=3 code=53 value=319
/dev/input/event3 2972873.370950 type=3 code=54 value=1032
/dev/input/event3 2972873.370950 type=0 code=0 value=0
/dev/input/event3 2972873.376547 type=3 code=53 value=320
/dev/input/event3 2972873.376547 type=3 code=54 value=1036
/dev/input/event3 2972873.376547 type=0 code=0 value=0
/dev/input/event3 2972873.381955 type=3 code=53 value=322
/dev/input/event3 2972873.381955 type=3 code=54 value=1039
/dev/input/event3 2972873.381955 type=0 code=0 value=0
/dev/input/event3 2972873.387394 type=3 code=53 value=323
/dev/input/event3 2972873.387394 type=3 code=54 value=1042
/dev/input/event3 2972873.387394 type=0 code=0 value=0
/dev/input/event3 2972873.392529 type=3 code=53 value=324
/dev/input/event3 2972873.392529 type=3 code=54 value=1044
/dev/input/event3 2972873.392529 type=0 code=0 value=0
/dev/input/event3 2972873.398136 type=3 code=53 value=325
/dev/input/event3 2972873.398136 type=3 code=54 value=1046
/dev/input/event3 2972873.398136 type=0 code=0 value=0
/dev/input/event3 2972873.408874 type=3 code=54 value=1047
/dev/input/event3 2972873.408874 type=0 code=0 value=0
/dev/input/event3 2972873.414331 type=3 code=53 value=326
/dev/input/event3 2972873.414331 type=3 code=54 value=1048
/dev/input/event3 2972873.414331 type=0 code=0 value=0
/dev/input/event3 2972873.425122 type=3 code=54 value=1050
/dev/input/event3 2972873.425122 type=0 code=0 value=0
/dev/input/event3 2972873.430558 type=3 code=54 value=1051
/dev/input/event3 2972873.430558 type=0 code=0 value=0
/dev/input/event3 2972873.435839 type=3 code=53 value=327
/dev/input/event3 2972873.435839 type=3 code=54 value=1052
/dev/input/event3 2972873.435839 type=0 code=0 value=0
/dev/input/event3 2972873.441376 type=3 code=54 value=1053
/dev/input/event3 2972873.441376 type=0 code=0 value=0
/dev/input/event3 2972873.446741 type=3 code=54 value=1054
/dev/input/event3 2972873.446741 type=0 code=0 value=0
/dev/input/event3 2972873.452068 type=3 code=54 value=1055
/dev/input/event3 2972873.452068 type=0 code=0 value=0
/dev/input/event3 2972873.457304 type=3 code=53 value=328
/dev/input/event3 2972873.457304 type=3 code=54 value=1056
/dev/input/event3 2972873.457304 type=0 code=0 value=0
/dev/input/event3 2972873.462928 type=3 code=54 value=1057
/dev/input/event3 2972873.462928 type=0 code=0 value=0
/dev/input/event3 2972873.468127 type=3 code=54 value=1058
/dev/input/event3 2972873.468127 type=0 code=0 value=0
/dev/input/event3 2972873.478893 type=3 code=53 value=329
/dev/input/event3 2972873.478893 type=3 code=54 value=1059
/dev/input/event3 2972873.478893 type=0 code=0 value=0
/dev/input/event3 2972873.484530 type=3 code=54 value=1060
/dev/input/event3 2972873.484530 type=0 code=0 value=0
/dev/input/event3 2972873.489906 type=3 code=54 value=1061
/dev/input/event3 2972873.489906 type=0 code=0 value=0
/dev/input/event3 2972873.500483 type=3 code=54 value=1062
/dev/input/event3 2972873.500483 type=0 code=0 value=0
/dev/input/event3 2972873.511254 type=3 code=54 value=1063
/dev/input/event3 2972873.511254 type=0 code=0 value=0
/dev/input/event3 2972873.522182 type=3 code=54 value=1064
/dev/input/event3 2972873.522182 type=0 code=0 value=0
/dev/input/event3 2972873.527699 type=3 code=54 value=1065
/dev/input/event3 2972873.527699 type=0 code=0 value=0
/dev/input/event3 2972873.543893 type=3 code=54 value=1066
/dev/input/event3 2972873.543893 type=0 code=0 value=0
/dev/input/event3 2972873.559867 type=3 code=54 value=1067
/dev/input/event3 2972873.559867 type=0 code=0 value=0
/dev/input/event3 2972873.576274 type=3 code=54 value=1068
/dev/input/event3 2972873.576274 type=0 code=0 value=0
/dev/input/event3 2972873.592279 type=3 code=54 value=1069
/dev/input/event3 2972873.592279 type=0 code=0 value=0
